"","class","training","validation","test"
"1",3,13.5469625627714,13.3462821677087,14.8452931945885
"2",4,33.0631407746495,33.334637958016,32.7802046785
"3",5,2.99066062741312,2.81558287419384,2.75552636819496
"4",6,31.9055483334549,32.0554199967254,31.2459376360068
"5",7,0.905647384515535,0.896988770472226,1.08427181532491
"6",9,3.06248941090028,3.04566231656091,3.30809917213828
"7",8,8.91103230139945,8.87362099896801,9.09282784022524
"8",1,3.4533889685161,3.16975706510804,2.27415984729625
"9",2,1.57517422879166,1.97130830119186,2.06437825828668
"10",4294967296,0.15950730644223,0.0700794906990463,2.62358821569807e-06
